price_current,price_previous,class
242.9,242.7,1
243.5,243.6,1
243.8,243.5,0
243.8,243.8,1
243.7,243.8,1
243.9,243.7,0
243.8,243.9,0
243.8,243.8,0
243.7,243.8,0
243.4,243.7,1
243.4,243.4,1
244.0,243.5,1
243.8,243.7,0
243.5,243.4,1
243.4,243.6,1
243.5,243.4,1
243.7,243.5,1
243.8,243.7,1
243.9,243.8,0
243.7,243.9,1
243.8,243.7,0
243.8,243.8,1
243.7,243.8,0
243.6,243.5,0
243.5,243.3,1
243.6,243.5,0
243.6,243.6,1
243.7,243.7,1
243.4,243.4,0
243.6,243.4,1
243.5,243.6,1
243.7,243.5,1
243.7,243.7,0
245.1,245.2,1
245.5,245.1,0
245.3,245.5,0
245.6,245.4,0
245.3,245.6,1
245.2,245.1,1
245.4,245.2,1
245.5,245.8,0
246.0,246.2,0
246.3,246.2,0
246.3,246.4,0
246.0,246.3,0
246.1,246.0,1
246.5,246.5,1
246.5,246.5,0
246.3,246.5,1
246.4,246.8,1
246.4,246.3,0
246.2,246.4,1
246.1,246.2,0
243.4,243.3,0
243.3,243.3,1
243.4,243.3,0
243.5,243.4,0
243.7,243.5,0
243.4,243.6,0
243.6,243.4,1
243.5,243.6,0
243.3,243.2,1
243.6,243.6,0
243.6,243.6,1
243.7,243.6,0
243.8,243.7,0
243.5,243.8,1
243.8,243.5,0
243.6,243.8,1
243.9,243.6,0
243.6,243.9,0
243.8,243.4,0
243.8,243.8,0
243.7,243.8,0
243.5,243.7,0
243.6,243.5,1
243.6,243.6,0
243.6,243.6,1
243.7,243.6,1
243.8,243.7,0
243.7,243.8,0
243.7,243.7,1
243.7,243.7,0
243.7,243.7,0
243.6,243.7,0
243.6,243.6,1
243.5,243.4,1
243.5,243.5,0
244.0,244.4,1
244.5,244.0,0
244.7,244.5,0
244.4,244.7,1
244.8,245.0,1
244.5,244.8,0
244.5,244.5,0
244.4,244.5,0
243.5,243.4,0
243.5,243.3,1
243.4,243.5,1
243.7,243.4,1
244.1,243.7,0
243.9,244.1,1
244.3,244.1,1
244.6,244.6,0
244.5,244.6,0
244.3,244.5,0
244.3,244.3,0
244.2,244.3,1
244.0,244.2,1
244.2,244.2,1
244.2,244.2,1
244.3,244.2,0
244.4,244.3,0
244.2,244.4,1
244.2,244.2,0
244.1,244.2,0
243.7,243.5,1
243.9,243.7,0
243.8,243.9,0
243.9,243.8,0
243.9,243.9,1
244.0,243.9,0
243.9,244.0,0
243.1,243.2,0
243.4,243.5,0
243.4,243.5,1
243.7,243.9,0
243.7,243.7,0
243.6,243.7,1
243.6,243.6,1
243.9,243.6,0
243.9,243.8,1
244.0,243.9,1
244.2,244.0,1
244.6,245.1,1
244.6,244.6,0
244.3,244.6,1
244.2,244.3,1
244.4,244.7,0
244.4,244.4,1
