ema10_previous,ema50_previous,class
242.71412565586436,243.05081734269802,1
243.10379487591626,243.0801567765349,1
243.19277496110772,243.09723482203853,0
243.33424129512343,243.12724866225426,1
243.44716267918275,243.156699094496,1
243.52137108432208,243.1810730391989,0
243.62409828516158,243.2141750962919,0
243.6871421966221,243.2414438595034,0
243.7330759820916,243.26764325945183,0
243.74682875538662,243.28766645258773,1
243.68094518336272,243.2920716897411,1
243.60163179988075,243.30490584953125,1
243.68057527488227,243.3507402272872,0
243.61577470198813,243.37771325986583,1
243.58592895177216,243.38922113110297,1
243.52446483548383,243.38825726589275,1
243.5200166835776,243.39263933389682,1
243.5442695279754,243.40653350945578,1
243.5935897757516,243.42564520011646,0
243.65212452393232,243.44915619207558,1
243.66365295426186,243.46144762562298,0
243.69973851948325,243.477792216164,1
243.72643927452896,243.49349584237004,0
243.59084244749508,243.52442472476272,0
243.4495929163659,243.51255442376754,1
243.45028644571119,243.51574372563167,0
243.47468329362832,243.52518394693396,1
243.55561245998678,243.5545785459897,1
243.47623816563598,243.56219727325947,0
243.45672908434034,243.5552229905087,1
243.48277834173297,243.55697895166531,1
243.48026195569247,243.55474448297244,1
243.52021432738465,243.5598271723899,0
245.53321954948075,244.13457566301184,1
245.50810452669404,244.18102591608482,0
245.5659307410485,244.24318168121968,0
245.12991604518257,244.49865839231296,0
245.22668104841838,244.55473397200885,1
245.2078806496128,244.6246263992505,1
245.2036240059114,244.65700775575604,1
245.4310849109149,244.8000337612191,0
246.41865419052056,246.11119101088147,0
246.1997872983417,246.1010535779913,0
245.7362154839397,246.00222037498435,0
245.83872175958703,246.0194204556496,0
245.87685030515075,246.02153319613763,1
246.11325995708577,246.06322380568764,1
246.2231095049664,246.08648833757584,0
246.29604361787418,246.10699971877625,1
246.56493715452262,246.20774843612026,1
246.50711977555991,246.2252391078703,0
246.49611484768258,246.2333196869252,1
246.4338043895158,246.23139942716784,0
243.3711712438205,243.48892970336541,0
243.42963990254498,243.46644913507347,1
243.40324521285584,243.45194484822804,0
243.41424973454428,243.4249696349054,0
243.4354882885344,243.4193215270121,0
243.52246127515772,243.4213413881039,0
243.50019558876545,243.41068678503564,1
243.512694248719,243.40829314679337,0
243.39151836631362,243.36018757137555,1
243.40656829370056,243.3540655555481,0
243.4473852914805,243.3612556220941,1
243.4751334203021,243.3712317520857,0
243.52166584960904,243.38719265139287,0
243.57509585708831,243.41503967685944,1
243.5614420648904,243.4226666918136,0
243.6217590248139,243.4436001301281,1
243.6262742334359,243.45464230130239,0
243.69580914285018,243.47824336277438,0
243.34542740393653,243.4535383943004,0
243.4252531685399,243.4738747829836,0
243.49903655271262,243.4928000608603,0
243.54122295794483,243.5033799701416,0
243.53372787468217,243.50386102766103,1
243.55424874696445,243.5082447888069,0
243.5899098431678,243.5177064639288,1
243.6058634087236,243.52154726678987,1
243.63145054754384,243.53038622929424,0
243.67339109580487,243.54280013444543,0
243.67540528006856,243.55141925652737,1
243.6770532490116,243.55970037382176,0
243.6812253855549,243.56765674141843,0
243.69028654845218,243.57468748923145,0
243.66043975557545,243.57729558812068,1
243.3488013138351,243.4786918402208,1
243.37911578236424,243.4807546650657,0
243.31544699070977,243.38654096331402,1
243.45403016580346,243.4136662072789,0
243.68373967573535,243.46363079689957,0
243.90804745658886,243.52131994420768,1
244.35995771947742,243.67285872345792,1
244.48232238160404,243.72565081729766,0
244.5391886620677,243.76031268948935,0
244.58006802217602,243.7936152725756,0
243.21175779073772,243.4785969895356,0
243.3753495895052,243.45285561946952,1
243.39236570386976,243.4577724455459,1
243.3965775560289,243.45673407018205,1
243.46021666806632,243.46750112130297,0
243.59348370013961,243.49598663110697,1
243.77959338601846,243.5502679699613,1
244.30608611173585,243.72280836140885,0
244.3934105803183,243.76641211403037,0
244.435380861344,243.8031571362052,0
244.41641375591598,243.82939082912742,0
244.40654281174577,243.85398214441014,1
244.3831085648328,243.87736915796813,1
244.2876905629889,243.90048910839386,1
244.2660992276292,243.913461844291,1
244.23713839633845,243.9228578186069,0
244.24009638387054,243.93519328660145,0
244.2635221719869,243.95342100085227,1
244.24350129121933,243.96124994942073,0
244.23276816722571,243.96570385355844,0
243.39169214832455,243.78249283555442,1
243.4992596959261,243.7881330243901,0
243.58341676266312,243.79681520218614,0
243.63409072635716,243.8000081230579,0
243.69655685860582,243.8051565838701,1
243.750489310581,243.81255756573015,0
243.8156214786961,243.82358988163492,0
243.0938628480981,243.3362586496526,0
243.17940070676468,243.32422517571862,0
243.17940070676468,243.32422517571862,1
243.48602225867037,243.35205431816294,0
243.54469389076928,243.36140400928653,0
243.59834555003025,243.3716142565921,1
243.60711775406742,243.3768889280473,1
243.61711881023328,243.38257035500945,0
243.71940587343246,243.41963891186245,1
243.76636016075832,243.4409310230653,1
243.8257829214331,243.4659233235105,1
244.4744783595258,243.69113701774154,1
244.5673149042939,243.77663953392852,0
244.59302423718844,243.8156778387047,1
244.55386609474056,243.83835249684574,1
244.5544923880077,243.8936252381765,0
244.53205045954988,243.91716470418132,1
