ema10_previous,sma10_previous,class
242.71412565586436,242.71,1
243.10379487591626,242.95,1
243.19277496110772,243.01,0
243.33424129512343,243.12000000000003,1
243.44716267918275,243.22000000000003,1
243.52137108432208,243.32,0
243.62409828516158,243.44,0
243.6871421966221,243.55,0
243.7330759820916,243.64000000000004,0
243.74682875538662,243.71,1
243.68094518336272,243.7,1
243.60163179988075,243.68,1
243.68057527488227,243.69,0
243.61577470198813,243.63,1
243.58592895177216,243.59,1
243.52446483548383,243.59,1
243.5200166835776,243.59,1
243.5442695279754,243.56,1
243.5935897757516,243.57,0
243.65212452393232,243.58,1
243.66365295426186,243.59,0
243.69973851948325,243.63,1
243.72643927452896,243.66000000000003,0
243.59084244749508,243.66,0
243.4495929163659,243.53000000000003,1
243.45028644571119,243.5,0
243.47468329362832,243.49,1
243.55561245998678,243.51,1
243.47623816563598,243.53000000000003,0
243.45672908434034,243.51,1
243.48277834173297,243.51,1
243.48026195569247,243.49,1
243.52021432738465,243.48999999999995,0
245.53321954948075,245.25,1
245.50810452669404,245.44,0
245.5659307410485,245.65,0
245.12991604518257,245.13,0
245.22668104841838,245.17,1
245.2078806496128,245.15,1
245.2036240059114,245.14,1
245.4310849109149,245.35,0
246.41865419052056,246.44,0
246.1997872983417,246.32,0
245.7362154839397,245.78,0
245.83872175958703,245.78000000000003,0
245.87685030515075,245.75,1
246.11325995708577,246.0,1
246.2231095049664,246.14,0
246.29604361787418,246.22,1
246.56493715452262,246.43,1
246.50711977555991,246.49,0
246.49611484768258,246.52000000000004,1
246.4338043895158,246.49,0
243.3711712438205,243.40000000000003,0
243.42963990254498,243.42,1
243.40324521285584,243.41000000000003,0
243.41424973454428,243.40000000000003,0
243.4354882885344,243.42,0
243.52246127515772,243.48999999999995,0
243.50019558876545,243.49,1
243.512694248719,243.47,0
243.39151836631362,243.47,1
243.40656829370056,243.43,0
243.4473852914805,243.45,1
243.4751334203021,243.45,0
243.52166584960904,243.47,0
243.57509585708831,243.48,1
243.5614420648904,243.48,0
243.6217590248139,243.54,1
243.6262742334359,243.57,0
243.69580914285018,243.64,0
243.34542740393653,243.41,0
243.4252531685399,243.40000000000003,0
243.49903655271262,243.42,0
243.54122295794483,243.44,0
243.53372787468217,243.44,1
243.55424874696445,243.47,0
243.5899098431678,243.55,1
243.6058634087236,243.6,1
243.63145054754384,243.63,0
243.67339109580487,243.67,0
243.67540528006856,243.66,1
243.6770532490116,243.64999999999995,0
243.6812253855549,243.64999999999995,0
243.69028654845218,243.67,0
243.66043975557545,243.67,1
243.3488013138351,243.31000000000003,1
243.37911578236424,243.32,0
243.31544699070977,243.25,1
243.45403016580346,243.3,0
243.68373967573535,243.44,0
243.90804745658886,243.58,1
244.35995771947742,244.02,1
244.48232238160404,244.17,0
244.5391886620677,244.36000000000004,0
244.58006802217602,244.53000000000003,0
243.21175779073772,243.05000000000004,0
243.3753495895052,243.4,1
243.39236570386976,243.38,1
243.3965775560289,243.39,1
243.46021666806632,243.42,0
243.59348370013961,243.48,1
243.77959338601846,243.65,1
244.30608611173585,244.1,0
244.3934105803183,244.22,0
244.435380861344,244.3,0
244.41641375591598,244.32,0
244.40654281174577,244.36000000000004,1
244.3831085648328,244.41,1
244.2876905629889,244.39,1
244.2660992276292,244.37,1
244.23713839633845,244.31,0
244.24009638387054,244.28000000000003,0
244.2635221719869,244.26,1
244.24350129121933,244.23,0
244.23276816722571,244.22,0
243.39169214832455,243.42,1
243.4992596959261,243.44,0
243.58341676266312,243.48,0
243.63409072635716,243.52000000000004,0
243.69655685860582,243.57,1
243.750489310581,243.63,0
243.8156214786961,243.7,0
243.0938628480981,243.08,0
243.17940070676468,243.12,0
243.17940070676468,243.12,1
243.48602225867037,243.33,0
243.54469389076928,243.4,0
243.59834555003025,243.48999999999995,1
243.60711775406742,243.52,1
243.61711881023328,243.56,0
243.71940587343246,243.67,1
243.76636016075832,243.72000000000003,1
243.8257829214331,243.78000000000003,1
244.4744783595258,244.18,1
244.5673149042939,244.38,0
244.59302423718844,244.45,1
244.55386609474056,244.5,1
244.5544923880077,244.6,0
244.53205045954988,244.62,1
