price_current,sma10_previous,class
242.9,242.71,1
243.5,242.95,1
243.8,243.01,0
243.8,243.12000000000003,1
243.7,243.22000000000003,1
243.9,243.32,0
243.8,243.44,0
243.8,243.55,0
243.7,243.64000000000004,0
243.4,243.71,1
243.4,243.7,1
244.0,243.68,1
243.8,243.69,0
243.5,243.63,1
243.4,243.59,1
243.5,243.59,1
243.7,243.59,1
243.8,243.56,1
243.9,243.57,0
243.7,243.58,1
243.8,243.59,0
243.8,243.63,1
243.7,243.66000000000003,0
243.6,243.66,0
243.5,243.53000000000003,1
243.6,243.5,0
243.6,243.49,1
243.7,243.51,1
243.4,243.53000000000003,0
243.6,243.51,1
243.5,243.51,1
243.7,243.49,1
243.7,243.48999999999995,0
245.1,245.25,1
245.5,245.44,0
245.3,245.65,0
245.6,245.13,0
245.3,245.17,1
245.2,245.15,1
245.4,245.14,1
245.5,245.35,0
246.0,246.44,0
246.3,246.32,0
246.3,245.78,0
246.0,245.78000000000003,0
246.1,245.75,1
246.5,246.0,1
246.5,246.14,0
246.3,246.22,1
246.4,246.43,1
246.4,246.49,0
246.2,246.52000000000004,1
246.1,246.49,0
243.4,243.40000000000003,0
243.3,243.42,1
243.4,243.41000000000003,0
243.5,243.40000000000003,0
243.7,243.42,0
243.4,243.48999999999995,0
243.6,243.49,1
243.5,243.47,0
243.3,243.47,1
243.6,243.43,0
243.6,243.45,1
243.7,243.45,0
243.8,243.47,0
243.5,243.48,1
243.8,243.48,0
243.6,243.54,1
243.9,243.57,0
243.6,243.64,0
243.8,243.41,0
243.8,243.40000000000003,0
243.7,243.42,0
243.5,243.44,0
243.6,243.44,1
243.6,243.47,0
243.6,243.55,1
243.7,243.6,1
243.8,243.63,0
243.7,243.67,0
243.7,243.66,1
243.7,243.64999999999995,0
243.7,243.64999999999995,0
243.6,243.67,0
243.6,243.67,1
243.5,243.31000000000003,1
243.5,243.32,0
244.0,243.25,1
244.5,243.3,0
244.7,243.44,0
244.4,243.58,1
244.8,244.02,1
244.5,244.17,0
244.5,244.36000000000004,0
244.4,244.53000000000003,0
243.5,243.05000000000004,0
243.5,243.4,1
243.4,243.38,1
243.7,243.39,1
244.1,243.42,0
243.9,243.48,1
244.3,243.65,1
244.6,244.1,0
244.5,244.22,0
244.3,244.3,0
244.3,244.32,0
244.2,244.36000000000004,1
244.0,244.41,1
244.2,244.39,1
244.2,244.37,1
244.3,244.31,0
244.4,244.28000000000003,0
244.2,244.26,1
244.2,244.23,0
244.1,244.22,0
243.7,243.42,1
243.9,243.44,0
243.8,243.48,0
243.9,243.52000000000004,0
243.9,243.57,1
244.0,243.63,0
243.9,243.7,0
243.1,243.08,0
243.4,243.12,0
243.4,243.12,1
243.7,243.33,0
243.7,243.4,0
243.6,243.48999999999995,1
243.6,243.52,1
243.9,243.56,0
243.9,243.67,1
244.0,243.72000000000003,1
244.2,243.78000000000003,1
244.6,244.18,1
244.6,244.38,0
244.3,244.45,1
244.2,244.5,1
244.4,244.6,0
244.4,244.62,1
