ema50_current,sma100_previous,class
243.04244851562999,243.301,1
243.09723482203853,243.291,1
243.12724866225426,243.296,0
243.156699094496,243.302,1
243.1810730391989,243.308,1
243.2141750962919,243.312,0
243.2414438595034,243.31600000000003,0
243.26764325945183,243.318,0
243.28766645258773,243.32100000000003,0
243.2920716897411,243.323,1
243.29630417249646,243.32000000000005,1
243.3358460758752,243.31400000000005,1
243.36835825758973,243.31900000000005,0
243.3818952129344,243.31800000000004,1
243.3884166211081,243.32,1
243.39263933389682,243.322,1
243.40653350945578,243.324,1
243.42564520011646,243.32800000000003,1
243.44915619207558,243.33300000000003,0
243.46144762562298,243.341,1
243.477792216164,243.34600000000003,0
243.49349584237004,243.34900000000002,1
243.50588928220586,243.353,0
243.53107009325439,243.36300000000003,0
243.51574372563167,243.36900000000003,1
243.52518394693396,243.372,0
243.53548117421505,243.375,1
243.56641740178765,243.377,1
243.5552229905087,243.38500000000008,0
243.55697895166531,243.38600000000002,1
243.55474448297244,243.38800000000003,1
243.5598271723899,243.389,1
243.5647105406536,243.392,0
244.18102591608482,243.551,1
244.24318168121968,243.568,0
244.29321601201,243.59099999999995,0
244.55473397200885,243.72600000000003,0
244.59500498737748,243.75,1
244.65700775575604,243.792,1
244.69964402460653,243.81399999999996,1
244.8391419196336,243.89200000000002,0
246.10498976297816,245.59000000000003,0
246.1106962145661,245.627,0
246.0194204556496,245.679,0
246.0223405013616,245.68400000000003,0
246.03074637938067,245.703,1
246.08648833757584,245.748,1
246.10699971877625,245.768,0
246.11702277872755,245.786,1
246.21835573997515,245.854,1
246.2333196869252,245.881,0
246.23139942716784,245.893,1
246.2274737191914,245.90500000000003,0
243.47562457812992,244.915,0
243.45194484822804,244.831,1
243.44254453094032,244.799,0
243.4193215270121,244.701,0
243.4223516561689,244.67400000000006,0
243.41068678503564,244.62500000000003,0
243.40829314679337,244.59900000000005,1
243.40391262419402,244.57500000000005,0
243.35169122077892,244.41600000000003,1
243.3612556220941,244.38,0
243.3712317520857,244.365,1
243.38719265139287,244.344,0
243.41503967685944,244.317,0
243.4226666918136,244.292,1
243.4436001301281,244.267,0
243.45464230130239,244.247,1
243.47824336277438,244.223,0
243.48731337043762,244.201,0
243.4738747829836,243.917,0
243.4928000608603,243.892,0
243.5033799701416,243.866,0
243.50386102766103,243.84099999999998,0
243.5082447888069,243.815,1
243.5130702431192,243.791,0
243.52154726678987,243.75899999999996,1
243.53038622929424,243.743,1
243.54280013444543,243.72599999999997,0
243.55141925652737,243.711,0
243.55970037382176,243.69400000000002,1
243.56765674141843,243.681,0
243.57468748923145,243.667,0
243.5744529259767,243.654,0
243.580026773318,243.631,1
243.4807546650657,243.414,1
243.48089577871468,243.406,0
243.4136662072789,243.421,1
243.46363079689957,243.42999999999995,0
243.52131994420768,243.44400000000002,0
243.56314125002723,243.457,1
243.72565081729766,243.505,1
243.76031268948935,243.525,0
243.7936152725756,243.543,0
243.82169030338383,243.56,0
243.47943632327932,243.529,0
243.4577724455459,243.518,1
243.45673407018205,243.51800000000003,1
243.46750112130297,243.51500000000004,1
243.49598663110697,243.51700000000002,0
243.51489831947208,243.52599999999998,1
243.58457806898528,243.54500000000004,1
243.76641211403037,243.581,0
243.8031571362052,243.589,0
243.82939082912742,243.59900000000002,0
243.85398214441014,243.604,0
243.87736915796813,243.611,1
243.8895414750127,243.614,1
243.913461844291,243.625,1
243.9228578186069,243.63200000000003,1
243.93519328660145,243.641,0
243.95342100085227,243.65200000000004,0
243.96124994942073,243.664,1
243.96570385355844,243.67500000000004,0
243.9666751315292,243.683,0
243.7866210868114,243.66600000000003,1
243.79681520218614,243.66600000000003,0
243.8000081230579,243.66800000000003,0
243.8051565838701,243.67000000000004,0
243.81255756573015,243.67300000000003,1
243.82358988163492,243.676,0
243.82904077833697,243.68,0
243.32024394552025,243.64499999999995,0
243.32228789451136,243.657,0
243.32228789451136,243.657,1
243.36140400928653,243.62500000000003,0
243.3716142565921,243.618,0
243.3768889280473,243.61000000000004,1
243.38257035500945,243.59600000000003,1
243.4034753190044,243.584,0
243.4409310230653,243.571,1
243.4659233235105,243.56600000000003,1
243.49961948710109,243.569,1
243.73536917847224,243.63100000000003,1
243.8156778387047,243.669,0
243.83835249684574,243.687,1
243.85560277871136,243.705,1
243.91716470418132,243.733,0
243.93916744850443,243.74400000000009,1
