price_current,wpr14_current,class
242.9,-22.222222222220818,1
243.5,-23.529411764705984,1
243.8,-5.8823529411760775,0
243.8,-12.499999999999332,1
243.7,-21.428571428572152,1
243.9,-7.142857142856707,0
243.8,-14.285714285713414,0
243.8,-15.384615384614374,0
243.7,-23.07692307692375,0
243.4,-46.15384615384532,1
243.4,-46.15384615384532,1
244.0,-0.0,1
243.8,-33.33333333333176,0
243.5,-62.49999999999911,1
243.4,-74.99999999999824,1
243.5,-62.49999999999911,1
243.7,-37.500000000000895,1
243.8,-24.99999999999823,1
243.9,-12.499999999999115,0
243.7,-37.500000000000895,1
243.8,-24.99999999999823,0
243.8,-24.99999999999823,1
243.7,-37.500000000000895,0
243.6,-66.66666666666825,0
243.5,-55.55555555555521,1
243.6,-44.4444444444448,0
243.6,-28.571428571430317,1
243.7,-14.285714285717187,1
243.4,-57.14285714285656,0
243.6,-33.333333333334906,1
243.5,-50.0,1
243.7,-16.666666666669823,1
243.7,-16.666666666669823,0
245.1,-59.375000000000135,1
245.5,-53.125000000000036,0
245.3,-56.24999999999986,0
245.6,-40.909090909091375,0
245.3,-54.54545454545431,1
245.2,-30.769230769231612,1
245.4,-15.384615384614714,1
245.5,-29.41176470588255,0
246.0,-93.33333333333373,0
246.3,-73.33333333333294,0
246.3,-23.80952380952355,0
246.0,-38.095238095238216,0
246.1,-33.33333333333378,1
246.5,-14.285714285714672,1
246.5,-14.285714285714672,0
246.3,-23.80952380952355,1
246.4,-50.0,1
246.4,-50.0,0
246.2,-66.66666666666825,1
246.1,-81.81818181818275,0
243.4,-19.999999999998863,0
243.3,-74.99999999999824,1
243.4,-62.49999999999911,0
243.5,-50.00000000000001,0
243.7,-25.000000000001783,0
243.4,-62.49999999999911,0
243.6,-37.500000000000895,1
243.5,-50.00000000000001,0
243.3,-50.0,1
243.6,-20.0000000000017,0
243.6,-20.0000000000017,1
243.7,-10.000000000002274,0
243.8,-0.0,0
243.5,-30.000000000001133,1
243.8,-0.0,0
243.6,-20.0000000000017,1
243.9,-15.384615384614714,0
243.6,-38.461538461538964,0
243.8,-27.272727272725863,0
243.8,-27.272727272725863,0
243.7,-36.36363636363706,0
243.5,-54.54545454545431,0
243.6,-45.45454545454569,1
243.6,-45.45454545454569,0
243.6,-45.45454545454569,1
243.7,-36.36363636363706,1
243.8,-27.272727272725863,0
243.7,-40.000000000000576,0
243.7,-40.000000000000576,1
243.7,-57.14285714285889,0
243.7,-57.14285714285889,0
243.6,-71.42857142857258,0
243.6,-66.66666666666825,1
243.5,-28.57142857142741,1
243.5,-16.66666666666588,0
244.0,-30.43478260869539,1
244.5,-30.000000000000192,0
244.7,-23.333333333333908,0
244.4,-33.333333333333336,1
244.8,-19.999999999999808,1
244.5,-30.000000000000192,0
244.5,-30.000000000000192,0
244.4,-33.333333333333336,0
243.5,-16.666666666667194,0
243.5,-23.07692307692375,1
243.4,-44.4444444444448,1
243.7,-14.285714285717187,1
244.1,-9.09090909090862,0
243.9,-27.272727272725863,1
244.3,-7.692307692307187,1
244.6,-21.052631578947604,0
244.5,-26.31578947368413,0
244.3,-36.84210526315718,0
244.3,-41.1764705882349,0
244.2,-50.00000000000089,1
244.0,-71.42857142857113,1
244.2,-61.53846153846187,1
244.2,-61.53846153846187,1
244.3,-69.99999999999885,0
244.4,-59.999999999999424,0
244.2,-80.00000000000115,1
244.2,-75.00000000000179,0
244.1,-87.50000000000091,0
243.7,-41.66666666666706,1
243.9,-24.999999999998817,0
243.8,-19.999999999998863,0
243.9,-9.999999999999432,0
243.9,-9.999999999999432,1
244.0,-9.09090909090862,0
243.9,-18.18181818181724,0
243.1,-39.999999999999616,0
243.4,-27.272727272725863,0
243.4,-27.272727272725863,1
243.7,-21.428571428572152,0
243.7,-21.428571428572152,0
243.6,-28.57142857142886,1
243.6,-28.57142857142886,1
243.9,-7.142857142856707,0
243.9,-27.272727272725863,1
244.0,-18.18181818181724,1
244.2,-0.0,1
244.6,-50.00000000000055,1
244.6,-50.00000000000055,0
244.3,-61.538461538461455,1
244.2,-70.83333333333387,1
244.4,-68.18181818181765,0
244.4,-68.18181818181765,1
