sma10_current,wpr14_previous,class
242.71,-54.54545454545549,1
243.01,-12.500000000000892,1
243.12000000000003,-23.529411764705984,0
243.22000000000003,-5.8823529411760775,1
243.32,-12.499999999999332,1
243.44,-21.428571428572152,0
243.55,-7.142857142856707,0
243.64000000000004,-14.285714285713414,0
243.71,-15.384615384614374,0
243.7,-23.07692307692375,1
243.68,-46.15384615384532,1
243.7,-41.66666666666706,1
243.7,-50.000000000002366,0
243.6,-74.99999999999824,1
243.59,-50.00000000000001,1
243.59,-74.99999999999824,1
243.56,-62.49999999999911,1
243.57,-37.500000000000895,1
243.58,-24.99999999999823,0
243.59,-12.499999999999115,1
243.63,-37.500000000000895,0
243.66000000000003,-24.99999999999823,1
243.67,-24.99999999999823,0
243.63,-83.33333333333412,0
243.5,-77.77777777777601,1
243.49,-55.55555555555521,0
243.48,-44.4444444444448,1
243.53,-14.285714285717187,1
243.51,-57.14285714285656,0
243.51,-57.14285714285656,1
243.49,-33.333333333334906,1
243.48999999999995,-50.0,1
243.51,-16.666666666669823,0
245.44,-57.81250000000021,1
245.65,-59.375000000000135,0
245.79,-53.125000000000036,0
245.17,-59.2592592592593,0
245.19,-40.909090909091375,1
245.14,-55.555555555556076,1
245.19,-30.769230769231612,1
245.38,-11.76470588235235,0
246.39,-80.00000000000115,0
246.3,-80.00000000000115,0
245.78000000000003,-5.5555555555552045,0
245.76,-23.80952380952355,0
245.79,-38.095238095238216,1
246.14,-14.285714285714672,1
246.22,-14.285714285714672,0
246.21000000000004,-14.285714285714672,1
246.47000000000003,-14.285714285713414,1
246.52000000000004,-58.33333333333294,0
246.49,-50.0,1
246.45,-66.66666666666825,0
243.4,-29.999999999998288,0
243.41000000000003,-54.54545454545431,1
243.40000000000003,-74.99999999999824,0
243.42,-62.49999999999911,0
243.46,-50.00000000000001,0
243.49,-37.500000000000895,0
243.47,-62.49999999999911,1
243.49,-37.500000000000895,0
243.43,-60.00000000000227,1
243.45,-20.0000000000017,0
243.45,-20.0000000000017,1
243.47,-20.0000000000017,0
243.48,-10.000000000002274,0
243.48,-0.0,1
243.54,-30.000000000001133,0
243.57,-0.0,1
243.64,-20.0000000000017,0
243.67,-15.384615384614714,0
243.40000000000003,-63.63636363636294,0
243.42,-27.272727272725863,0
243.44,-27.272727272725863,0
243.44,-36.36363636363706,0
243.47,-54.54545454545431,1
243.51,-45.45454545454569,0
243.6,-45.45454545454569,1
243.63,-45.45454545454569,1
243.67,-36.36363636363706,0
243.66,-27.272727272725863,0
243.64999999999995,-40.000000000000576,1
243.64999999999995,-40.000000000000576,0
243.67,-57.14285714285889,0
243.67,-57.14285714285889,0
243.67,-66.66666666666825,1
243.32,-42.857142857141106,1
243.34,-28.57142857142741,0
243.3,-0.0,1
243.44,-30.43478260869539,0
243.58,-30.000000000000192,0
243.71,-23.333333333333908,1
244.17,-13.333333333333526,1
244.36000000000004,-19.999999999999808,0
244.53000000000003,-30.000000000000192,0
244.53000000000003,-30.000000000000192,0
243.09,-22.2222222222224,0
243.38,-33.333333333333336,1
243.39,-23.07692307692375,1
243.42,-44.4444444444448,1
243.48,-14.285714285717187,0
243.54,-9.09090909090862,1
243.75,-16.66666666666785,1
244.22,-21.052631578947604,0
244.3,-21.052631578947604,0
244.32,-26.31578947368413,0
244.36000000000004,-36.84210526315718,0
244.41,-41.1764705882349,1
244.4,-50.00000000000089,1
244.37,-61.53846153846187,1
244.31,-61.53846153846187,1
244.28000000000003,-61.53846153846187,0
244.26,-69.99999999999885,0
244.23,-59.999999999999424,1
244.22,-80.00000000000115,0
244.2,-75.00000000000179,0
243.42,-66.66666666666667,1
243.48,-41.66666666666706,0
243.52000000000004,-24.999999999998817,0
243.57,-19.999999999998863,0
243.63,-9.999999999999432,1
243.7,-9.999999999999432,0
243.77000000000004,-9.09090909090862,0
243.09,-33.333333333333336,0
243.13,-13.333333333332574,0
243.13,-13.333333333332574,1
243.4,-7.142857142856707,0
243.48999999999995,-21.428571428572152,0
243.52,-21.428571428572152,1
243.56,-28.57142857142886,1
243.64,-28.57142857142886,0
243.72000000000003,-28.57142857142741,1
243.78000000000003,-27.272727272725863,1
243.83,-18.18181818181724,1
244.28,-30.76923076923127,1
244.45,-50.00000000000055,0
244.5,-50.00000000000055,1
244.53,-61.538461538461455,1
244.62,-50.000000000000604,0
244.61,-68.18181818181765,1
