sma20_previous,sma50_current,class
242.89,243.18,1
242.925,243.182,1
242.94,243.19,0
242.965,243.2,1
243.01000000000005,243.21,1
243.045,243.226,0
243.09,243.23999999999995,0
243.13,243.25399999999996,0
243.175,243.264,0
243.23,243.264,1
243.28,243.264,1
243.345,243.278,1
243.455,243.28,0
243.59,243.276,1
243.65,243.268,1
243.635,243.266,1
243.635,243.272,1
243.63,243.28400000000002,1
243.63,243.29999999999995,0
243.64,243.308,1
243.63,243.318,0
243.63,243.32799999999997,1
243.63,243.342,0
243.615,243.4,0
243.58,243.422,1
243.58,243.442,0
243.58,243.46599999999998,1
243.61000000000004,243.52000000000004,1
243.50999999999996,243.596,0
243.49499999999995,243.596,1
243.49999999999997,243.59600000000003,1
243.5,243.594,1
243.51,243.592,0
244.235,243.864,1
244.305,243.898,0
244.39500000000004,243.926,0
245.085,244.12800000000004,0
245.21,244.164,1
245.40000000000003,244.22800000000004,1
245.4650000000001,244.272,1
245.33,244.4,0
246.36,245.924,0
246.335,245.93,0
246.05,245.98999999999995,0
246.04,246.002,0
245.925,246.05000000000004,1
245.94000000000003,246.108,1
245.965,246.122,0
245.99,246.13,1
246.08,246.198,1
246.14,246.214,0
246.195,246.212,1
246.245,246.21599999999998,0
243.215,243.768,0
243.26000000000005,243.694,1
243.27500000000003,243.67,0
243.345,243.582,0
243.385,243.55599999999998,0
243.445,243.498,0
243.445,243.466,1
243.45,243.44000000000003,0
243.445,243.288,1
243.46,243.25600000000003,0
243.47000000000003,243.25800000000004,1
243.46000000000004,243.26800000000003,0
243.48,243.306,0
243.505,243.32,1
243.51,243.34,0
243.525,243.356,1
243.53500000000003,243.376,0
243.555,243.39,0
243.48999999999995,243.456,0
243.52,243.47599999999997,0
243.545,243.484,0
243.55,243.486,0
243.545,243.488,1
243.545,243.492,0
243.5300000000001,243.498,1
243.53500000000008,243.504,1
243.53000000000003,243.51,0
243.54000000000005,243.518,0
243.53000000000003,243.52599999999998,1
243.535,243.534,0
243.545,243.54000000000005,0
243.555,243.53600000000003,0
243.59,243.548,1
243.45,243.524,1
243.44,243.522,0
243.295,243.45,1
243.335,243.474,0
243.4,243.504,0
243.485,243.528,1
243.67,243.616,1
243.74,243.63,0
243.795,243.644,0
243.84500000000003,243.658,0
243.51,243.50600000000003,0
243.17,243.51799999999997,1
243.205,243.522,1
243.215,243.52599999999998,1
243.235,243.53800000000004,0
243.285,243.548,1
243.49,243.582,1
243.74,243.69,0
243.805,243.71599999999998,0
243.86000000000004,243.73799999999997,0
243.90000000000003,243.75799999999995,0
243.95000000000005,243.79,1
243.99,243.814,1
244.07,243.814,1
244.105,243.808,1
244.14999999999995,243.8,0
244.19,243.79999999999995,0
244.23999999999995,243.794,1
244.265,243.778,0
244.27,243.76400000000004,0
243.79,243.78600000000003,1
243.74999999999997,243.81600000000003,0
243.735,243.82599999999996,0
243.715,243.83,0
243.695,243.842,1
243.67,243.854,0
243.66,243.862,0
243.09500000000003,243.51000000000005,0
243.08,243.484,0
243.08,243.484,1
243.14499999999992,243.43600000000004,0
243.19499999999996,243.426,0
243.23999999999995,243.414,1
243.29,243.404,1
243.32,243.406,0
243.39500000000004,243.41599999999997,1
243.425,243.426,1
243.485,243.44200000000004,1
243.835,243.56600000000003,1
243.97000000000003,243.612,0
244.04500000000007,243.624,1
244.08500000000004,243.634,1
244.19,243.662,0
244.225,243.672,1
