price_previous,sma50_previous,class
242.7,243.188,1
243.6,243.18000000000004,1
243.5,243.182,0
243.8,243.19,1
243.8,243.2,1
243.7,243.21,0
243.9,243.226,0
243.8,243.23999999999995,0
243.8,243.25399999999996,0
243.7,243.264,1
243.4,243.264,1
243.5,243.266,1
243.7,243.28,0
243.4,243.278,1
243.6,243.272,1
243.4,243.266,1
243.5,243.266,1
243.7,243.272,1
243.8,243.28400000000002,0
243.9,243.29999999999995,1
243.7,243.308,0
243.8,243.318,1
243.8,243.32799999999997,0
243.5,243.38800000000003,0
243.3,243.41000000000003,1
243.5,243.422,0
243.6,243.442,1
243.7,243.50000000000003,1
243.4,243.598,0
243.4,243.596,1
243.6,243.596,1
243.5,243.59600000000003,1
243.7,243.594,0
245.2,243.83599999999998,1
245.1,243.864,0
245.5,243.898,0
245.4,244.086,0
245.6,244.12800000000004,1
245.1,244.19600000000003,1
245.2,244.22800000000004,1
245.8,244.362,0
246.2,245.93000000000004,0
246.2,245.924,0
246.4,245.972,0
246.3,245.98999999999995,0
246.0,246.03,1
246.5,246.088,1
246.5,246.108,0
246.5,246.122,1
246.8,246.188,1
246.3,246.20999999999995,0
246.4,246.214,1
246.2,246.212,0
243.3,243.8,0
243.3,243.72,1
243.3,243.694,0
243.4,243.61,0
243.5,243.582,0
243.6,243.53000000000003,0
243.4,243.498,1
243.6,243.466,0
243.2,243.308,1
243.6,243.264,0
243.6,243.25600000000003,1
243.6,243.25800000000004,0
243.7,243.26800000000003,0
243.8,243.306,1
243.5,243.32,0
243.8,243.34,1
243.6,243.356,0
243.9,243.376,0
243.4,243.434,0
243.8,243.456,0
243.8,243.47599999999997,0
243.7,243.484,0
243.5,243.486,1
243.6,243.488,0
243.6,243.496,1
243.6,243.498,1
243.7,243.504,0
243.8,243.51,0
243.7,243.518,1
243.7,243.52599999999998,0
243.7,243.534,0
243.7,243.54000000000005,0
243.6,243.54200000000003,1
243.4,243.52,1
243.5,243.524,0
244.4,243.44,1
244.0,243.45,0
244.5,243.474,0
244.7,243.504,1
245.0,243.588,1
244.8,243.616,0
244.5,243.63,0
244.5,243.644,0
243.4,243.506,0
243.3,243.508,1
243.5,243.51799999999997,1
243.4,243.522,1
243.7,243.52599999999998,0
244.1,243.53800000000004,1
244.1,243.56600000000003,1
244.6,243.66,0
244.6,243.69,0
244.5,243.71599999999998,0
244.3,243.73799999999997,0
244.3,243.75799999999995,1
244.2,243.79,1
244.2,243.81,1
244.2,243.814,1
244.2,243.808,0
244.3,243.8,0
244.4,243.79999999999995,1
244.2,243.794,0
244.2,243.778,0
243.5,243.762,1
243.7,243.80200000000005,0
243.9,243.81600000000003,0
243.8,243.82599999999996,0
243.9,243.83,1
243.9,243.842,0
244.0,243.854,0
243.2,243.532,0
243.5,243.5,0
243.5,243.5,1
243.9,243.45,0
243.7,243.43600000000004,0
243.7,243.426,1
243.6,243.414,1
243.6,243.404,0
243.8,243.408,1
243.9,243.41599999999997,1
244.0,243.426,1
245.1,243.53800000000004,1
244.6,243.59000000000003,0
244.6,243.612,1
244.3,243.624,1
244.7,243.65000000000003,0
244.4,243.662,1
