price_previous,wpr14_previous,class
242.7,-54.54545454545549,1
243.6,-12.500000000000892,1
243.5,-23.529411764705984,0
243.8,-5.8823529411760775,1
243.8,-12.499999999999332,1
243.7,-21.428571428572152,0
243.9,-7.142857142856707,0
243.8,-14.285714285713414,0
243.8,-15.384615384614374,0
243.7,-23.07692307692375,1
243.4,-46.15384615384532,1
243.5,-41.66666666666706,1
243.7,-50.000000000002366,0
243.4,-74.99999999999824,1
243.6,-50.00000000000001,1
243.4,-74.99999999999824,1
243.5,-62.49999999999911,1
243.7,-37.500000000000895,1
243.8,-24.99999999999823,0
243.9,-12.499999999999115,1
243.7,-37.500000000000895,0
243.8,-24.99999999999823,1
243.8,-24.99999999999823,0
243.5,-83.33333333333412,0
243.3,-77.77777777777601,1
243.5,-55.55555555555521,0
243.6,-44.4444444444448,1
243.7,-14.285714285717187,1
243.4,-57.14285714285656,0
243.4,-57.14285714285656,1
243.6,-33.333333333334906,1
243.5,-50.0,1
243.7,-16.666666666669823,0
245.2,-57.81250000000021,1
245.1,-59.375000000000135,0
245.5,-53.125000000000036,0
245.4,-59.2592592592593,0
245.6,-40.909090909091375,1
245.1,-55.555555555556076,1
245.2,-30.769230769231612,1
245.8,-11.76470588235235,0
246.2,-80.00000000000115,0
246.2,-80.00000000000115,0
246.4,-5.5555555555552045,0
246.3,-23.80952380952355,0
246.0,-38.095238095238216,1
246.5,-14.285714285714672,1
246.5,-14.285714285714672,0
246.5,-14.285714285714672,1
246.8,-14.285714285713414,1
246.3,-58.33333333333294,0
246.4,-50.0,1
246.2,-66.66666666666825,0
243.3,-29.999999999998288,0
243.3,-54.54545454545431,1
243.3,-74.99999999999824,0
243.4,-62.49999999999911,0
243.5,-50.00000000000001,0
243.6,-37.500000000000895,0
243.4,-62.49999999999911,1
243.6,-37.500000000000895,0
243.2,-60.00000000000227,1
243.6,-20.0000000000017,0
243.6,-20.0000000000017,1
243.6,-20.0000000000017,0
243.7,-10.000000000002274,0
243.8,-0.0,1
243.5,-30.000000000001133,0
243.8,-0.0,1
243.6,-20.0000000000017,0
243.9,-15.384615384614714,0
243.4,-63.63636363636294,0
243.8,-27.272727272725863,0
243.8,-27.272727272725863,0
243.7,-36.36363636363706,0
243.5,-54.54545454545431,1
243.6,-45.45454545454569,0
243.6,-45.45454545454569,1
243.6,-45.45454545454569,1
243.7,-36.36363636363706,0
243.8,-27.272727272725863,0
243.7,-40.000000000000576,1
243.7,-40.000000000000576,0
243.7,-57.14285714285889,0
243.7,-57.14285714285889,0
243.6,-66.66666666666825,1
243.4,-42.857142857141106,1
243.5,-28.57142857142741,0
244.4,-0.0,1
244.0,-30.43478260869539,0
244.5,-30.000000000000192,0
244.7,-23.333333333333908,1
245.0,-13.333333333333526,1
244.8,-19.999999999999808,0
244.5,-30.000000000000192,0
244.5,-30.000000000000192,0
243.4,-22.2222222222224,0
243.3,-33.333333333333336,1
243.5,-23.07692307692375,1
243.4,-44.4444444444448,1
243.7,-14.285714285717187,0
244.1,-9.09090909090862,1
244.1,-16.66666666666785,1
244.6,-21.052631578947604,0
244.6,-21.052631578947604,0
244.5,-26.31578947368413,0
244.3,-36.84210526315718,0
244.3,-41.1764705882349,1
244.2,-50.00000000000089,1
244.2,-61.53846153846187,1
244.2,-61.53846153846187,1
244.2,-61.53846153846187,0
244.3,-69.99999999999885,0
244.4,-59.999999999999424,1
244.2,-80.00000000000115,0
244.2,-75.00000000000179,0
243.5,-66.66666666666667,1
243.7,-41.66666666666706,0
243.9,-24.999999999998817,0
243.8,-19.999999999998863,0
243.9,-9.999999999999432,1
243.9,-9.999999999999432,0
244.0,-9.09090909090862,0
243.2,-33.333333333333336,0
243.5,-13.333333333332574,0
243.5,-13.333333333332574,1
243.9,-7.142857142856707,0
243.7,-21.428571428572152,0
243.7,-21.428571428572152,1
243.6,-28.57142857142886,1
243.6,-28.57142857142886,0
243.8,-28.57142857142741,1
243.9,-27.272727272725863,1
244.0,-18.18181818181724,1
245.1,-30.76923076923127,1
244.6,-50.00000000000055,0
244.6,-50.00000000000055,1
244.3,-61.538461538461455,1
244.7,-50.000000000000604,0
244.4,-68.18181818181765,1
