wpr14_current,wpr14_previous,class
-22.222222222220818,-54.54545454545549,1
-23.529411764705984,-12.500000000000892,1
-5.8823529411760775,-23.529411764705984,0
-12.499999999999332,-5.8823529411760775,1
-21.428571428572152,-12.499999999999332,1
-7.142857142856707,-21.428571428572152,0
-14.285714285713414,-7.142857142856707,0
-15.384615384614374,-14.285714285713414,0
-23.07692307692375,-15.384615384614374,0
-46.15384615384532,-23.07692307692375,1
-46.15384615384532,-46.15384615384532,1
-0.0,-41.66666666666706,1
-33.33333333333176,-50.000000000002366,0
-62.49999999999911,-74.99999999999824,1
-74.99999999999824,-50.00000000000001,1
-62.49999999999911,-74.99999999999824,1
-37.500000000000895,-62.49999999999911,1
-24.99999999999823,-37.500000000000895,1
-12.499999999999115,-24.99999999999823,0
-37.500000000000895,-12.499999999999115,1
-24.99999999999823,-37.500000000000895,0
-24.99999999999823,-24.99999999999823,1
-37.500000000000895,-24.99999999999823,0
-66.66666666666825,-83.33333333333412,0
-55.55555555555521,-77.77777777777601,1
-44.4444444444448,-55.55555555555521,0
-28.571428571430317,-44.4444444444448,1
-14.285714285717187,-14.285714285717187,1
-57.14285714285656,-57.14285714285656,0
-33.333333333334906,-57.14285714285656,1
-50.0,-33.333333333334906,1
-16.666666666669823,-50.0,1
-16.666666666669823,-16.666666666669823,0
-59.375000000000135,-57.81250000000021,1
-53.125000000000036,-59.375000000000135,0
-56.24999999999986,-53.125000000000036,0
-40.909090909091375,-59.2592592592593,0
-54.54545454545431,-40.909090909091375,1
-30.769230769231612,-55.555555555556076,1
-15.384615384614714,-30.769230769231612,1
-29.41176470588255,-11.76470588235235,0
-93.33333333333373,-80.00000000000115,0
-73.33333333333294,-80.00000000000115,0
-23.80952380952355,-5.5555555555552045,0
-38.095238095238216,-23.80952380952355,0
-33.33333333333378,-38.095238095238216,1
-14.285714285714672,-14.285714285714672,1
-14.285714285714672,-14.285714285714672,0
-23.80952380952355,-14.285714285714672,1
-50.0,-14.285714285713414,1
-50.0,-58.33333333333294,0
-66.66666666666825,-50.0,1
-81.81818181818275,-66.66666666666825,0
-19.999999999998863,-29.999999999998288,0
-74.99999999999824,-54.54545454545431,1
-62.49999999999911,-74.99999999999824,0
-50.00000000000001,-62.49999999999911,0
-25.000000000001783,-50.00000000000001,0
-62.49999999999911,-37.500000000000895,0
-37.500000000000895,-62.49999999999911,1
-50.00000000000001,-37.500000000000895,0
-50.0,-60.00000000000227,1
-20.0000000000017,-20.0000000000017,0
-20.0000000000017,-20.0000000000017,1
-10.000000000002274,-20.0000000000017,0
-0.0,-10.000000000002274,0
-30.000000000001133,-0.0,1
-0.0,-30.000000000001133,0
-20.0000000000017,-0.0,1
-15.384615384614714,-20.0000000000017,0
-38.461538461538964,-15.384615384614714,0
-27.272727272725863,-63.63636363636294,0
-27.272727272725863,-27.272727272725863,0
-36.36363636363706,-27.272727272725863,0
-54.54545454545431,-36.36363636363706,0
-45.45454545454569,-54.54545454545431,1
-45.45454545454569,-45.45454545454569,0
-45.45454545454569,-45.45454545454569,1
-36.36363636363706,-45.45454545454569,1
-27.272727272725863,-36.36363636363706,0
-40.000000000000576,-27.272727272725863,0
-40.000000000000576,-40.000000000000576,1
-57.14285714285889,-40.000000000000576,0
-57.14285714285889,-57.14285714285889,0
-71.42857142857258,-57.14285714285889,0
-66.66666666666825,-66.66666666666825,1
-28.57142857142741,-42.857142857141106,1
-16.66666666666588,-28.57142857142741,0
-30.43478260869539,-0.0,1
-30.000000000000192,-30.43478260869539,0
-23.333333333333908,-30.000000000000192,0
-33.333333333333336,-23.333333333333908,1
-19.999999999999808,-13.333333333333526,1
-30.000000000000192,-19.999999999999808,0
-30.000000000000192,-30.000000000000192,0
-33.333333333333336,-30.000000000000192,0
-16.666666666667194,-22.2222222222224,0
-23.07692307692375,-33.333333333333336,1
-44.4444444444448,-23.07692307692375,1
-14.285714285717187,-44.4444444444448,1
-9.09090909090862,-14.285714285717187,0
-27.272727272725863,-9.09090909090862,1
-7.692307692307187,-16.66666666666785,1
-21.052631578947604,-21.052631578947604,0
-26.31578947368413,-21.052631578947604,0
-36.84210526315718,-26.31578947368413,0
-41.1764705882349,-36.84210526315718,0
-50.00000000000089,-41.1764705882349,1
-71.42857142857113,-50.00000000000089,1
-61.53846153846187,-61.53846153846187,1
-61.53846153846187,-61.53846153846187,1
-69.99999999999885,-61.53846153846187,0
-59.999999999999424,-69.99999999999885,0
-80.00000000000115,-59.999999999999424,1
-75.00000000000179,-80.00000000000115,0
-87.50000000000091,-75.00000000000179,0
-41.66666666666706,-66.66666666666667,1
-24.999999999998817,-41.66666666666706,0
-19.999999999998863,-24.999999999998817,0
-9.999999999999432,-19.999999999998863,0
-9.999999999999432,-9.999999999999432,1
-9.09090909090862,-9.999999999999432,0
-18.18181818181724,-9.09090909090862,0
-39.999999999999616,-33.333333333333336,0
-27.272727272725863,-13.333333333332574,0
-27.272727272725863,-13.333333333332574,1
-21.428571428572152,-7.142857142856707,0
-21.428571428572152,-21.428571428572152,0
-28.57142857142886,-21.428571428572152,1
-28.57142857142886,-28.57142857142886,1
-7.142857142856707,-28.57142857142886,0
-27.272727272725863,-28.57142857142741,1
-18.18181818181724,-27.272727272725863,1
-0.0,-18.18181818181724,1
-50.00000000000055,-30.76923076923127,1
-50.00000000000055,-50.00000000000055,0
-61.538461538461455,-50.00000000000055,1
-70.83333333333387,-61.538461538461455,1
-68.18181818181765,-50.000000000000604,0
-68.18181818181765,-68.18181818181765,1
